notice_date,code,pdf_url,screens,decision,actor,registered_date,released,held,after_pledged,evidence
2025-09-30,sh.603416,https://static.cninfo.com.cn/finalpage/2025-09-30/1224688124.PDF,vertical,pending,,,,,,
2025-09-30,sz.300203,https://static.cninfo.com.cn/finalpage/2025-09-30/1224694869.PDF,table,pending,,,,,,
2025-10-01,sz.002625,https://static.cninfo.com.cn/finalpage/2025-10-01/1224697049.PDF,after_only,pending,,,,,,
2025-10-10,sh.601218,https://static.cninfo.com.cn/finalpage/2025-10-10/1224701873.PDF,vertical,pending,,,,,,
2025-10-10,sz.002852,https://static.cninfo.com.cn/finalpage/2025-10-10/1224702091.PDF,after_only,pending,,,,,,
2025-10-11,sh.600186,https://static.cninfo.com.cn/finalpage/2025-10-11/1224706402.PDF,vertical,pending,,,,,,
2025-10-13,sz.300614,https://static.cninfo.com.cn/finalpage/2025-10-13/1224707429.PDF,after_only,pending,,,,,,
2025-10-14,sz.300182,https://static.cninfo.com.cn/finalpage/2025-10-14/1224710441.PDF,after_only,pending,,,,,,
2025-10-15,sh.600051,https://static.cninfo.com.cn/finalpage/2025-10-15/1224711152.PDF,vertical,pending,,,,,,
2025-10-17,sh.603668,https://static.cninfo.com.cn/finalpage/2025-10-17/1224715947.PDF,vertical,pending,,,,,,
2025-10-17,sz.002759,https://static.cninfo.com.cn/finalpage/2025-10-17/1224715625.PDF,after_only,pending,,,,,,
2025-11-01,sz.002625,https://static.cninfo.com.cn/finalpage/2025-11-01/1224780349.PDF,after_only,pending,,,,,,
2025-11-04,sh.603008,https://static.cninfo.com.cn/finalpage/2025-11-04/1224783312.PDF,vertical,pending,,,,,,
2025-11-04,sz.300052,https://static.cninfo.com.cn/finalpage/2025-11-04/1224785373.PDF,table,pending,,,,,,
2025-11-04,sz.300440,https://static.cninfo.com.cn/finalpage/2025-11-04/1224786871.PDF,table,pending,,,,,,
2025-11-05,sz.002779,https://static.cninfo.com.cn/finalpage/2025-11-05/1224785572.PDF,after_only,pending,,,,,,
2025-11-06,sz.300350,https://static.cninfo.com.cn/finalpage/2025-11-06/1224790434.PDF,after_only,pending,,,,,,
2025-11-07,sz.300014,https://static.cninfo.com.cn/finalpage/2025-11-07/1224792218.PDF,table,pending,,,,,,
2025-11-11,sz.000593,https://static.cninfo.com.cn/finalpage/2025-11-11/1224796105.PDF,table,pending,,,,,,
2025-11-13,sh.603177,https://static.cninfo.com.cn/finalpage/2025-11-13/1224800204.PDF,vertical,pending,,,,,,
2025-11-13,sz.300430,https://static.cninfo.com.cn/finalpage/2025-11-13/1224803409.PDF,table,pending,,,,,,
2025-11-14,sh.603997,https://static.cninfo.com.cn/finalpage/2025-11-14/1224803166.PDF,vertical,pending,,,,,,
2025-11-14,sz.002681,https://static.cninfo.com.cn/finalpage/2025-11-14/1224802888.PDF,after_only,pending,,,,,,
2025-11-19,sz.300244,https://static.cninfo.com.cn/finalpage/2025-11-19/1224814833.PDF,table,pending,,,,,,
2025-11-20,sh.600664,https://static.cninfo.com.cn/finalpage/2025-11-20/1224816011.PDF,vertical,pending,,,,,,
2025-11-21,sz.000035,https://static.cninfo.com.cn/finalpage/2025-11-21/1224816589.PDF,after_only,pending,,,,,,
2025-11-21,sz.300249,https://static.cninfo.com.cn/finalpage/2025-11-21/1224818594.PDF,after_only,pending,,,,,,
2025-11-25,sz.002857,https://static.cninfo.com.cn/finalpage/2025-11-25/1224822430.PDF,after_only,pending,,,,,,
2025-11-26,sh.601218,https://static.cninfo.com.cn/finalpage/2025-11-26/1224824409.PDF,vertical,pending,,,,,,
2025-11-26,sz.001211,https://static.cninfo.com.cn/finalpage/2025-11-26/1224824691.PDF,after_only,pending,,,,,,
2025-11-26,sz.002869,https://static.cninfo.com.cn/finalpage/2025-11-26/1224825367.PDF,table,pending,,,,,,
2025-12-03,sh.603766,https://static.cninfo.com.cn/finalpage/2025-12-03/1224842882.PDF,vertical,pending,,,,,,
2025-12-03,sz.301075,https://static.cninfo.com.cn/finalpage/2025-12-03/1224846209.PDF,table,pending,,,,,,
2025-12-06,sz.002759,https://static.cninfo.com.cn/finalpage/2025-12-06/1224853745.PDF,after_only,pending,,,,,,
2025-12-09,sz.301321,https://static.cninfo.com.cn/finalpage/2025-12-09/1224862009.PDF,table,pending,,,,,,
2025-12-10,sh.603633,https://static.cninfo.com.cn/finalpage/2025-12-10/1224860416.PDF,vertical,pending,,,,,,
2025-12-10,sz.301047,https://static.cninfo.com.cn/finalpage/2025-12-10/1224861112.PDF,after_only,pending,,,,,,
2025-12-13,sz.002617,https://static.cninfo.com.cn/finalpage/2025-12-13/1224870997.PDF,after_only,reject,,,,,,原件所印2024-12-10解除日与2024-12-24同股质押存量矛盾
2025-12-17,sh.600703,https://static.cninfo.com.cn/finalpage/2025-12-17/1224880613.PDF,vertical,pending,,,,,,
2025-12-19,sz.000953,https://static.cninfo.com.cn/finalpage/2025-12-19/1224885814.PDF,after_only,reject,,,,,,原件载明解押为配合控制权协议转让并同时过户
2025-12-20,sz.002798,https://static.cninfo.com.cn/finalpage/2025-12-20/1224887281.PDF,after_only,pending,,,,,,
2025-12-27,sz.300249,https://static.cninfo.com.cn/finalpage/2025-12-27/1224900064.PDF,after_only,pending,,,,,,
2025-12-29,sz.300299,https://static.cninfo.com.cn/finalpage/2025-12-29/1224903423.PDF,after_only,pending,,,,,,
2025-12-29,sz.300964,https://static.cninfo.com.cn/finalpage/2025-12-29/1224904381.PDF,after_only,pending,,,,,,
2025-12-30,sz.002164,https://static.cninfo.com.cn/finalpage/2025-12-30/1224904085.PDF,table,pending,,,,,,
2025-12-30,sz.300850,https://static.cninfo.com.cn/finalpage/2025-12-30/1224907574.PDF,table,pending,,,,,,
2025-12-31,sh.603729,https://static.cninfo.com.cn/finalpage/2025-12-31/1224908692.PDF,vertical,pending,,,,,,
2025-12-31,sz.002348,https://static.cninfo.com.cn/finalpage/2025-12-31/1224907623.PDF,after_only,pending,,,,,,
